Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1bwHUsQwWSWzoxlULC0wwT,"聖者の行進","聖者の行進","Tatsuya Kitani",2021-07-22,177168,46,false,1rm8a4ytboch21x75yu5jotkz,2023-03-10T21:25:15Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.534,0.84,8,-4.798,1,0.112,0.00136,0,0.499,0.539,157.948,4
spotify:track:1tjOClAkdMxDfYPO0xvGbG,"THE DAY","Butterfly Effect","PornoGraffitti",2017-10-25,241626,63,false,1rm8a4ytboch21x75yu5jotkz,2023-04-17T21:10:38Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.512,0.933,1,-4.759,0,0.0738,0.000761,0,0.342,0.465,92.998,4
spotify:track:7kRKlFCFLAUwt43HWtauhX,"LOST IN PARADISE","LOST IN PARADISE","ALI,AKLO",2020-10-10,327966,66,false,1rm8a4ytboch21x75yu5jotkz,2023-09-20T18:41:09Z,"anime,j-pop,j-rap,j-r&b","Sony Music Labels Inc.",0.648,0.904,6,-4.565,0,0.0786,0.0961,0.00000207,0.0629,0.728,121.994,4
spotify:track:3x4378ztiLvFmm2nuzEI0C,"The Cruel Angel's Thesis (Director's Edit Version)","NEON GENESIS EVANGELION (Original Series Soundtrack)","高橋　洋子",2019-06-21,245093,63,false,1rm8a4ytboch21x75yu5jotkz,2023-09-20T18:43:00Z,"city pop,anime","Masterworks",0.646,0.677,0,-9.477,0,0.0432,0.0337,0.000002,0.13,0.588,128.125,4
spotify:track:2k9WjoW8aRuQWXgjR9ViAx,"Gospel of the Throttle (Drifters Op Remix)","Gospel of the Throttle (Drifters Op Remix)","Minutes Til Midnight",2017-10-27,179381,38,false,1rm8a4ytboch21x75yu5jotkz,2023-09-20T18:47:34Z,"anime","Digital Noir Records",0.491,0.864,2,-9.577,1,0.0434,0.0000844,0.567,0.29,0.669,97.006,4
spotify:track:0GWNtMohuYUEHVZ40tcnHF,"SPECIALZ","SPECIALZ","King Gnu",2023-09-01,238986,72,false,1rm8a4ytboch21x75yu5jotkz,2023-09-25T15:27:38Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.566,0.85,6,-4.431,0,0.0599,0.0663,0,0.319,0.722,117.048,4
spotify:track:4LjIQmt1t6NjpM0tpttzjo,"勇者","勇者","YOASOBI",2023-09-29,194164,65,false,1rm8a4ytboch21x75yu5jotkz,2023-11-02T22:12:21Z,"j-pop,anime","YOASOBI",0.641,0.887,5,-4.665,1,0.0443,0.047,0.0000136,0.171,0.501,104.015,4
spotify:track:7FeEiAWqWScpMFnlLSUvX2,"Anytime Anywhere","Anytime Anywhere","milet",2023-09-29,230449,63,false,1rm8a4ytboch21x75yu5jotkz,2023-12-07T17:54:19Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.365,0.767,4,-4.107,1,0.0659,0.498,0,0.156,0.399,109.261,5
spotify:track:5eY7692tmgHB9dbmq6wa2M,"晴る","晴る","Yorushika",2024-01-05,270705,72,false,1rm8a4ytboch21x75yu5jotkz,2024-08-24T21:54:43Z,"j-pop,j-rock,japanese indie,anime","Universal Music LLC",0.695,0.571,11,-6.249,0,0.111,0.032,0.00000358,0.118,0.726,101.955,4
spotify:track:5v3cE1JozTgYP4sdaDygDE,"Zoltraak","Frieren: Beyond Journey's End - Original Series Soundtrack EP","Evan Call",2023-12-22,140664,45,false,1rm8a4ytboch21x75yu5jotkz,2024-04-16T21:30:48Z,"anime,soundtrack","Milan",0.454,0.819,7,-8.229,0,0.053,0.01,0.792,0.105,0.575,145.086,4
spotify:track:3UMRhdJ5UDK68YiW0AqDtH,"bliss","Anytime Anywhere","milet",2024-01-31,259092,53,false,1rm8a4ytboch21x75yu5jotkz,2024-04-30T09:20:02Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.176,0.561,1,-3.88,0,0.0401,0.233,0,0.261,0.162,67.096,4
spotify:track:42qNWdLKCI41S4uzfamhFM,"Duvet","Twilight","bôa",2001-03-21,203600,85,false,1rm8a4ytboch21x75yu5jotkz,2024-01-23T16:27:10Z,"","Nettwerk Music Group",0.583,0.888,11,-9.414,0,0.0349,0.191,0.0000458,0.0936,0.706,93.206,4
spotify:track:3ia8uKWZIDLp8hKm18zuNS,"FLY ME TO THE MOON - YOKO TAKAHASHI Acid Bossa Version","NEON GENESIS EVANGELION (Original Series Soundtrack)","Shiro SAGISU,高橋　洋子",2019-06-21,230480,49,false,1rm8a4ytboch21x75yu5jotkz,2024-02-06T06:56:43Z,"anime,soundtrack,city pop","Masterworks",0.869,0.3,9,-15.121,0,0.0433,0.398,0.0828,0.0711,0.875,117.987,4
spotify:track:5ktgImJ7uP5gR2Pv85R9Qy,"Knock Out","Knock Out","Okazaki Taiiku",2023-04-08,225666,47,false,1rm8a4ytboch21x75yu5jotkz,2024-02-17T22:01:29Z,"anime,j-pop","Sony Music Labels Inc.",0.377,0.987,11,-0.731,0,0.158,0.0000312,0,0.307,0.431,179.931,4
spotify:track:0kdqcbwei4MDWFEX5f33yG,"Bling-Bang-Bang-Born","Bling-Bang-Bang-Born","Creepy Nuts",2024-01-07,168135,76,false,1rm8a4ytboch21x75yu5jotkz,2024-02-17T22:01:32Z,"anime,j-pop,j-rap","Sony Music Labels Inc.",0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,4
spotify:track:6JXAzCUM0Drgc4FgVA6mGC,"Fallen Angel feat. Aimee B","Panty & Stocking with Garterbelt　The Original Soundtrack","Mitsunori Ikeda,Aimee B",2010-12-29,267600,50,false,1rm8a4ytboch21x75yu5jotkz,2024-05-09T22:06:03Z,"","FlyingDog",0.804,0.765,1,-5.612,1,0.0584,0.21,0.123,0.0993,0.91,94.994,4
spotify:track:30kpqo2lUMRZcn9CwRXNPR,"D City Rock feat. Debra Zeer","Panty & Stocking with Garterbelt　The Original Soundtrack","TeddyLoid,Debra Zeer",2010-12-29,272400,46,false,1rm8a4ytboch21x75yu5jotkz,2024-05-09T22:06:25Z,"vocaloid","FlyingDog",0.624,0.757,10,-4.539,1,0.0576,0.114,0.00148,0.493,0.618,134.968,4
spotify:track:7olMFQZhjN2EHf7ra2PjE7,"Fly Away","Panty & Stocking with Garterbelt　The Original Soundtrack","TeddyLoid",2010-12-29,263826,57,false,1rm8a4ytboch21x75yu5jotkz,2024-05-09T22:06:30Z,"vocaloid","FlyingDog",0.735,0.803,6,-3.95,0,0.37,0.0171,0.000378,0.162,0.737,131.962,4
